가격,거래 유형,건축물 용도,공급/전용면적,관리비,기보증금/월세,난방(방식/연료),매물번호,매물특징,방수/욕실수,방향,융자금,이미지 URL,입주가능일,제목,주소,총주차대수,해당면적 세대수,해당층/총층,현관구조
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),13만원,-/-,개별난방/도시가스,2458645891,25 초역세권 빠른입주가 숲세권 특깨끗 신분당선청계산입구역도보5분,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,고/7층,계단식
15억,매매,공동주택,87.89㎡/59.92㎡(전용률68%),13만원,-/-,개별난방/도시가스,2458747359,"25, 초역세권,도심속 숲세권 청계산뷰,여의천과 편의시설 인접,신혼부부강",3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_13769753030385xAWK_JPEG/photoinfra_1376975302789.jpg,2026년 10월 29일 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),6세대,고/7층,계단식
8억,전세,공동주택,87.72㎡/59.81㎡(전용률68%),18만원,-,개별난방/도시가스,2458560794,청계산입구역 초역세권  숲세권  정원뷰  교통편리  귀한전세,3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_121/hscp_img_1376975271861CS5E1_JPEG/photoinfra_1376975271624.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),18세대,저/7층,계단식
21억,매매,공동주택,122.62㎡/84.6㎡(전용률69%),19만원,"8억5,000/-",개별난방/도시가스,2458493879,34 황금라인신분당선청계산입구역도보5분  갭투자가능한집 내부상태깨끗,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_274/hscp_img_1376975484025OvhSv_JPEG/photoinfra_1376975483736.jpg,2027년 02월 중순 협의가능,서초포레스타7단지 706동,서울시 서초구 신원동 615,332대(세대당 1.07대),5세대,고/6층,계단식
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),16만원,-/-,개별난방/도시가스,2458244794,25 신분당선청계산입구역도보5분 앞이트인집 청계산자락의힐링아파트풀인테리어,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,고/7층,계단식
8억,전세,공동주택,87.72㎡/59.81㎡(전용률68%),18만원,-,개별난방/도시가스,2458153565,"청계산자락초역세권 강남분당황금라인,맑은공기,조용하고 살기좋은 곳",3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_121/hscp_img_1376975271861CS5E1_JPEG/photoinfra_1376975271624.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),18세대,저/7층,계단식
15억,매매,공동주택,87.89㎡/59.92㎡(전용률68%),16만원,-/-,개별난방/도시가스,2457806531,25   신분당선청계산입구역도보5분 앞이트인청계산조망권확보 내부상태깨끗,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_13769753030385xAWK_JPEG/photoinfra_1376975302789.jpg,2026년 10월 하순 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),6세대,고/7층,계단식
15억,매매,공동주택,87.89㎡/59.92㎡(전용률68%),16만원,-/-,개별난방/도시가스,2457104497,"25.청계산입구역도보거리,  내부상태좋음,밝고 환한집",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_13769753030385xAWK_JPEG/photoinfra_1376975302789.jpg,2024년 10월 31일 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),6세대,고/7층,계단식
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),16만원,-/-,개별난방/도시가스,2456945363,25 황금라인신분당선청계산입구역도보5분 도심속숲세권 내부상태깨끗 밝아요,3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,중/7층,계단식
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),18만원,-/-,개별난방/도시가스,2456407886,25 신분당선 초역세권  도심속숲세권 여의천  내부깔끔 판상형,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,고/7층,계단식
15억,매매,공동주택,87.72㎡/59.81㎡(전용률68%),18만원,-/-,개별난방/도시가스,2456393447,청계산입구역  초역세권  숲세권  정원뷰  교통편리,3/2개,동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_121/hscp_img_1376975271861CS5E1_JPEG/photoinfra_1376975271624.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),18세대,저/7층,계단식
"17억 5,000",매매,공동주택,123.05㎡/84.33㎡(전용률69%),20만원,-/-,개별난방/도시가스,2456347767,35 신분당선초역세권 넓은거실 교통편리 자연친화숲세권 세안고,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_1376975417298vr7uJ_JPEG/photoinfra_1376975417043.jpg,2025년 9월 1일 협의가능,서초포레스타7단지 705동,서울시 서초구 신원동 615,332대(세대당 1.07대),8세대,저/6층,계단식
21억,매매,공동주택,122.62㎡/84.6㎡(전용률69%),20만원,-/-,개별난방/도시가스,2456410577,"34. 신분당선 청계산입구 초역세권, 도심속 숲세권, 세안고 매매",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_274/hscp_img_1376975484025OvhSv_JPEG/photoinfra_1376975483736.jpg,즉시입주 협의가능,서초포레스타7단지 706동,서울시 서초구 신원동 615,332대(세대당 1.07대),5세대,고/6층,복합식
15억,매매,공동주택,87.67㎡/59.94㎡(전용률68%),18만원,-/-,개별난방/도시가스,2456337301,"25.청계산입구역도보거리,  내부상태 최고,   입주가능",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_71/hscp_img_1376975325154ABuEJ_JPEG/photoinfra_1376975324919.jpg,즉시입주 협의가능,서초포레스타7단지 707동,서울시 서초구 신원동 615,332대(세대당 1.07대),4세대,고/7층,계단식
"9억 5,000",전세,공동주택,122.62㎡/84.6㎡(전용률69%),20만원,-,개별난방/도시가스,2456407840,"34. 신분당선 청계산입구초역세권, 도심속 숲세권, 귀한전세물건",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_274/hscp_img_1376975484025OvhSv_JPEG/photoinfra_1376975483736.jpg,즉시입주 협의가능,서초포레스타7단지 706동,서울시 서초구 신원동 615,332대(세대당 1.07대),5세대,고/6층,복합식
"17억 5,000",매매,공동주택,123.05㎡/84.33㎡(전용률69%),20만원,-/-,개별난방/도시가스,2455946893,"초역세권,넓은 구조,전세끼고 매매,좋은 위치,가까운 편의시설",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_1376975417298vr7uJ_JPEG/photoinfra_1376975417043.jpg,2025년 10월 1일 협의가능,서초포레스타7단지 705동,서울시 서초구 신원동 615,332대(세대당 1.07대),8세대,저/6층,계단식
21억,매매,공동주택,122.62㎡/84.6㎡(전용률69%),20만원,-/-,개별난방/도시가스,2455293708,"신분당선 초근접 역세권,깔끔한 내외부,가까운 편의시설,자연경관 최고",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_274/hscp_img_1376975484025OvhSv_JPEG/photoinfra_1376975483736.jpg,즉시입주 협의가능,서초포레스타7단지 706동,서울시 서초구 신원동 615,332대(세대당 1.07대),5세대,고/6층,-
"17억 5,000",매매,공동주택,123.05㎡/84.33㎡(전용률69%),19만원,-/-,개별난방/도시가스,2454824237,34 황금라인신분당선청계산입구역도보5분 도심속숲세권 인테리어 도심속숲세권,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20130820_233/hscp_img_1376975417298vr7uJ_JPEG/photoinfra_1376975417043.jpg,2025년 9월 1일 협의가능,서초포레스타7단지 705동,서울시 서초구 신원동 615,332대(세대당 1.07대),8세대,저/6층,계단식
7억/100,월세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,개별난방/도시가스,2458570975,34 초역세권 최고라인 전망 정남향  청계산입구역3분 내부상태 굿,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),25만원,-,개별난방/도시가스,2458550777,34 신분당선청계산입구역도보5분 보이는 창마다숲이보여요 빠른입주가능,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,개별난방/도시가스,2458286549,34 초역세권의 전망좋은 정남향  내부깔끔  월세가능,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
7억/100,월세,공동주택,121.38㎡/84.33㎡(전용률69%),19만원,-,개별난방/도시가스,2458258238,34  황금라인신분당선청계산입구역도보5분 내부상태깨끗  정남향 햇빛좋아요,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
"13억 3,000",매매,공동주택,86.52㎡/59.93㎡(전용률69%),15만원,-/-,개별난방/도시가스,2458748299,"급매,신분당선 초역세권,공기좋은 도심속 숲세권단지",3/2개,남서향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2026년 7월 2일 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,저/7층,계단식
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,개별난방/도시가스,2457592377,"34  청계산입구역 도보3분,상가인접생활편리,주인거주,월세가능",3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,-
7억/100,월세,공동주택,121.38㎡/84.33㎡(전용률69%),27만원,-,개별난방/도시가스,2457207242,34p  청계산입구역3분.대출무.남향.즉시입주,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,2024년 12월 10일 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
14억,매매,공동주택,86.35㎡/59.98㎡(전용률69%),18만원,-/-,개별난방/도시가스,2458048908,"신분당선  바로 앞 초역세권, 깔끔하고 밝은 판상형구조,예쁜 공원 산책로",3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_80/hscp_img_1413773841039uriDc_JPEG/photoinfra_1413773840470.jpg,2025년 9월 14일 협의가능,서초포레스타6단지 603동,서울시 서초구 신원동 619,615대(세대당 1.05대),19세대,고/7층,-
10억,전세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,개별난방/도시가스,2456807988,34 초역세권 최고라인 전망 신분당선청계산입구역3분 내부상태 굿,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
14억,매매,공동주택,86.52㎡/59.93㎡(전용률69%),16만원,-/-,개별난방/도시가스,2457804632,25 황금라인신분당선청계산입구역도보5분 청계산자락의아파트 3베이판상형,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2025년 5월 30일 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,고/7층,계단식
"15억 3,000",매매,공동주택,86.35㎡/59.98㎡(전용률69%),20만원,-/-,개별난방/도시가스,2458060115,"25.최신 모던 인테리어,채광우수,역세권 최고 매물,입주가능",3/2개,남동향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_221/hscp_img_1413773807058dMS2f_JPEG/photoinfra_1413773806024.jpg,즉시입주,서초포레스타6단지 603동,서울시 서초구 신원동 619,615대(세대당 1.05대),38세대,중/7층,복합식
7억/100,월세,공동주택,121.38㎡/84.33㎡(전용률69%),20만원,-,개별난방/도시가스,2456348636,34 초역세권의 전망좋은 정남향  내부깔끔  6억 150 가능,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 607동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,4/7층,계단식
"13억 7,000",매매,공동주택,86.35㎡/59.98㎡(전용률69%),16만원,-/-,개별난방/도시가스,2456525113,25 황금라인신분당선청계산입구역도보4분 3베이판상형 내부상태깨끗 밝아요,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_221/hscp_img_1413773807058dMS2f_JPEG/photoinfra_1413773806024.jpg,2026년 10월 13일 협의가능,서초포레스타6단지 606동,서울시 서초구 신원동 619,615대(세대당 1.05대),38세대,고/7층,계단식
19억,매매,공동주택,121.38㎡/84.33㎡(전용률69%),21만원,-/-,개별난방/도시가스,2456525345,34 신분당선청계산입구역도보5분 남향 보이는창마다숲이보여요 풀인테리어,3/2개,남향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_169/hscp_img_1413773893645U4YbC_JPEG/photoinfra_1413773890035.jpg,즉시입주 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),28세대,고/7층,계단식
"13억 3,000",매매,공동주택,86.52㎡/59.93㎡(전용률69%),16만원,-/-,개별난방/도시가스,2456524619,25 황금라인신분당선청계산입구역도보4분 판상형 내부상태깨끗 아이키우기좋음,3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2026년 7월 27일 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,저/7층,계단식
"13억 7,000",매매,공동주택,86.35㎡/59.98㎡(전용률69%),15만원,5억/88만원,개별난방/도시가스,2456326217,25 초역세권 도심속숲세권 특깨끗  신분당선 청계산입구역3분,3/2개,남향(거실 기준),없음,https://landthumb-phinf.pstatic.net/20141020_221/hscp_img_1413773807058dMS2f_JPEG/photoinfra_1413773806024.jpg,2026년 10월 하순 협의가능,서초포레스타6단지 606동,서울시 서초구 신원동 619,615대(세대당 1.05대),38세대,고/7층,계단식
"13억 5,000",매매,공동주택,86.52㎡/59.93㎡(전용률69%),18만원,-/-,개별난방/도시가스,2456377433,"초역세권,실내 깔끔, 아담한 판상형,쾌적한 주거환경",3/2개,남서향(거실 기준),-,https://landthumb-phinf.pstatic.net/20141020_297/hscp_img_1413773710115RGtcc_JPEG/photoinfra_1413773709587.jpg,2026년 7월 25일 협의가능,서초포레스타6단지 605동,서울시 서초구 신원동 619,615대(세대당 1.05대),45세대,저/7층,-
